127.0.0.1 - - [26/Jan/2022:13:39:01 +0900] "GET / HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:02 +0900] "GET / HTTP/1.1" 200 400
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:05 +0900] "GET /BoardReply/board_list.jsp HTTP/1.1" 200 6697
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:05 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:05 +0900] "GET /BoardReply/img/bullet-01.gif HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:05 +0900] "GET /BoardReply/img/reply2.gif HTTP/1.1" 200 253
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:05 +0900] "GET /BoardReply/img/search2.gif HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:05 +0900] "GET /BoardReply/img/write.gif HTTP/1.1" 200 431
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /BoardReply/board_view.jsp?idx=16 HTTP/1.1" 200 2546
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /BoardReply/img/write.jpg HTTP/1.1" 200 1159
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /BoardReply/img/reply.gif HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /BoardReply/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /BoardReply/img/list-2.gif HTTP/1.1" 200 1512
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /BoardReply/img/bullet-04.gif HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /BoardReply/img/edit.gif HTTP/1.1" 200 1639
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:16 +0900] "GET /BoardReply/img/del.gif HTTP/1.1" 200 1649
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:19 +0900] "GET /BoardReply/board_reply.jsp?idx=16 HTTP/1.1" 200 2865
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:19 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:19 +0900] "GET /BoardReply/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:19 +0900] "GET /BoardReply/img/bullet-03.gif HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:19 +0900] "GET /BoardReply/img/bullet-02.gif HTTP/1.1" 200 61
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:19 +0900] "GET /BoardReply/img/cancle.gif HTTP/1.1" 200 939
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:19 +0900] "GET /BoardReply/img/save.gif HTTP/1.1" 200 910
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:30 +0900] "POST /BoardReply/board_write_pro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:30 +0900] "GET /BoardReply/board_list.jsp HTTP/1.1" 200 7413
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:30 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:30 +0900] "GET /BoardReply/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:30 +0900] "GET /BoardReply/img/reply2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:30 +0900] "GET /BoardReply/img/search2.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:30 +0900] "GET /BoardReply/img/write.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:41 +0900] "GET /BoardReply/board_view.jsp?idx=17 HTTP/1.1" 200 2549
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:41 +0900] "GET /stylesheet.css HTTP/1.1" 404 821
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:41 +0900] "GET /BoardReply/img/bullet-01.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:13:39:41 +0900] "GET /BoardReply/img/write.jpg HTTP/1.1" 304 -
